num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
88,5.63636,3.65909,0.528226,1
75,5.68,3.62667,0.537559,1
88,5.45455,3.67045,0.510417,1
33,6.78788,3.24242,0.669643,1
165,5.1697,3.76364,0.465416,1
6,12.5,2.66667,0.866667,1
188,6.2234,4.60638,0.420513,1
64,5.78125,3.5,0.567568,1
17,8.29412,3.29412,0.723404,1
12,8.83333,3.08333,0.764151,1
116,5.30172,3.58621,0.512195,1
4,13.25,2.5,0.886792,1
11,7.90909,3,0.747126,1
59,5.74576,3.45763,0.572271,1
3,13,2.33333,0.897436,1
48,5.97917,3.33333,0.609756,1
48,6.125,3.29167,0.62585,1
28,7.60714,3.42857,0.680751,1
149,5.07383,3.93289,0.421958,1
58,5.98276,3.43103,0.59366,1
132,5.12121,3.88636,0.436391,1
87,5.90805,3.72414,0.538911,1
11,10.9091,3.09091,0.808333,1
25,7.12,3.28,0.679775,1
3,17,2.33333,0.921569,1
1,32,1,1,1
